ControlKey,ControlID,ControlName,SystemKey,ControlCategoryKey,OwnerKey,TestFrequency,ControlType
56,IR&-0708,Incident Response & Monitoring Control - Salesforce CRM,7,8,8,Monthly,Detective
57,AM-0801,Access Management Control - Enterprise Data Warehouse,8,1,1,Monthly,Preventive
58,SOD-0802,Segregation of Duties Control - Enterprise Data Warehouse,8,2,2,Quarterly,Detective
59,CM-0803,Change Management Control - Enterprise Data Warehouse,8,3,3,Monthly,Preventive
60,LS&-0804,Logical Security & Authentication Control - Enterprise Data Warehouse,8,4,4,Quarterly,Preventive
61,B&R-0805,Backup & Recovery Control - Enterprise Data Warehouse,8,5,5,Monthly,Detective
62,E&D-0806,Encryption & Data Protection Control - Enterprise Data Warehouse,8,6,6,Semi-Annual,Preventive
63,V&T-0807,Vendor & Third-Party Oversight Control - Enterprise Data Warehouse,8,7,7,Quarterly,Detective
64,IR&-0808,Incident Response & Monitoring Control - Enterprise Data Warehouse,8,8,8,Monthly,Detective
65,AM-0901,Access Management Control - ServiceNow ITSM,9,1,1,Monthly,Preventive
66,SOD-0902,Segregation of Duties Control - ServiceNow ITSM,9,2,2,Quarterly,Detective
67,CM-0903,Change Management Control - ServiceNow ITSM,9,3,3,Monthly,Preventive
68,LS&-0904,Logical Security & Authentication Control - ServiceNow ITSM,9,4,4,Quarterly,Preventive
69,B&R-0905,Backup & Recovery Control - ServiceNow ITSM,9,5,5,Monthly,Detective
70,E&D-0906,Encryption & Data Protection Control - ServiceNow ITSM,9,6,6,Semi-Annual,Preventive
71,V&T-0907,Vendor & Third-Party Oversight Control - ServiceNow ITSM,9,7,7,Quarterly,Detective
72,IR&-0908,Incident Response & Monitoring Control - ServiceNow ITSM,9,8,8,Monthly,Detective
73,AM-1001,Access Management Control - Payroll System (ADP),10,1,1,Monthly,Preventive
74,SOD-1002,Segregation of Duties Control - Payroll System (ADP),10,2,2,Quarterly,Detective
75,CM-1003,Change Management Control - Payroll System (ADP),10,3,3,Monthly,Preventive
76,LS&-1004,Logical Security & Authentication Control - Payroll System (ADP),10,4,4,Quarterly,Preventive
77,B&R-1005,Backup & Recovery Control - Payroll System (ADP),10,5,5,Monthly,Detective
78,E&D-1006,Encryption & Data Protection Control - Payroll System (ADP),10,6,6,Semi-Annual,Preventive
79,V&T-1007,Vendor & Third-Party Oversight Control - Payroll System (ADP),10,7,7,Quarterly,Detective
80,IR&-1008,Incident Response & Monitoring Control - Payroll System (ADP),10,8,8,Monthly,Detective
